feature,gain,weight,cover,total_gain,total_cover
operation_amt,217.67750549316406,5192.0,29395.3984375,1130181.625,152620912.0
log_1_plus_transactions_seen,76.48513793945312,5038.0,9767.2607421875,385332.125,49207460.0
amount_to_median,187.72616577148438,4116.0,11149.845703125,772680.875,45892764.0
amount_zscore,117.26505279541016,4290.0,9223.2431640625,503067.0625,39567712.0
is_amount_high,615.9282836914062,96.0,12036.3544921875,59129.1171875,1155490.0
transactions_last_1h,204.6252899169922,1268.0,24193.650390625,259464.875,30677548.0
transactions_last_24h,136.70220947265625,2593.0,18179.771484375,354468.8125,47140148.0
sum_amount_last_1h,936.502197265625,2827.0,21674.857421875,2647491.75,61274820.0
max_amount_last_24h,128.0063934326172,4345.0,21178.939453125,556187.8125,92022488.0
is_new_device,175.73548889160156,97.0,17414.556640625,17046.341796875,1689212.0
is_new_mcc,129.0659942626953,131.0,25557.732421875,16907.64453125,3348063.0
is_new_channel,90.00630187988281,275.0,32390.1640625,24751.732421875,8907295.0
is_new_timezone,59.46414566040039,12.0,12780.8486328125,713.5697631835938,153370.1875
is_compromised_device,46.36503601074219,26.0,234884.0625,1205.490966796875,6106985.5
web_rdp_connection,91.48767852783203,303.0,34361.91796875,27720.767578125,10411661.0
phone_voip_call_state,72.7610092163086,282.0,17703.634765625,20518.60546875,4992425.0
hour,110.94889831542969,4461.0,16060.7626953125,494943.03125,71647064.0
day_of_week,87.7117691040039,2137.0,15891.2958984375,187440.046875,33959700.0
is_night_transaction,93.50836944580078,170.0,5218.55517578125,15896.4228515625,887154.375
is_weekend,129.82687377929688,105.0,4276.58740234375,13631.822265625,449041.6875
transactions_last_10m,172.3019256591797,1172.0,21393.595703125,201937.859375,25073294.0
sum_amount_last_24h,528.0269775390625,3550.0,22748.904296875,1874495.875,80758608.0
time_since_prev_transaction,121.60566711425781,5938.0,15720.4267578125,722094.4375,93347896.0
is_new_browser_language,76.961181640625,43.0,140833.5625,3309.330810546875,6055843.5
transactions_in_session,72.58294677734375,429.0,45535.7265625,31138.083984375,19534826.0
timezone_missing,156.72459411621094,215.0,93459.4609375,33695.7890625,20093784.0
tr_amount,78.47035217285156,1033.0,8109.66357421875,81059.875,8377282.5
event_descr,352.3957824707031,4083.0,36585.609375,1438832.0,149379040.0
mcc_code,780.509033203125,1700.0,38208.203125,1326865.375,64953948.0
amount_diff_prev,76.06107330322266,2979.0,7846.1806640625,226585.9375,23373772.0
amount_ratio_prev,79.96128845214844,3673.0,17470.33984375,293697.8125,64168560.0
trend_mean_last_3_to_10,91.74037170410156,5945.0,11759.46484375,545396.5,69910016.0
amount_percentile_rank,93.81092071533203,2867.0,7989.89404296875,268955.90625,22907026.0
std_time_deltas,169.41680908203125,6122.0,14612.486328125,1037169.6875,89457640.0
is_timezone_change,61.52717971801758,28.0,25516.845703125,1722.760986328125,714471.6875
is_new_device_tz_pair,84.31988525390625,23.0,5326.36962890625,1939.3572998046875,122506.5
is_device_switch,78.10037231445312,157.0,30008.25390625,12261.7587890625,4711296.0
is_mcc_switch,172.60508728027344,228.0,39193.20703125,39353.9609375,8936051.0
session_duration,99.00794982910156,1635.0,15539.1689453125,161878.0,25406542.0
session_mean_amount,143.91610717773438,1844.0,19566.658203125,265381.3125,36080916.0
amount_zscore_x_is_new_device,56.00139617919922,33.0,72039.671875,1848.0460205078125,2377309.25
amount_zscore_x_is_new_mcc,79.10327911376953,898.0,21590.1484375,71034.7421875,19387954.0
is_new_device_x_is_new_timezone,150.347412109375,64.0,11112.2724609375,9622.234375,711185.4375
device_freq,123.3792495727539,2706.0,13140.2236328125,333864.25,35557444.0
delta_1,92.60655975341797,4966.0,15043.091796875,459884.1875,74703992.0
delta_2,82.53986358642578,4895.0,11893.044921875,404032.625,58216456.0
delta_3,79.79454803466797,5606.0,13118.0048828125,447328.21875,73539536.0
acceleration_delta_1_over_2,70.31814575195312,4817.0,10652.029296875,338722.5,51310824.0
std_delta_last_k,217.74822998046875,5242.0,18137.041015625,1141436.25,95074368.0
cv_delta_last_k,75.68583679199219,5461.0,9976.044921875,413320.34375,54479180.0
time_since_last_device_change,94.07671356201172,3936.0,18031.21875,370285.9375,70970880.0
time_since_last_mcc_change,120.70722198486328,3477.0,16670.52734375,419699.0,57963424.0
